Akira;Otomo, Katsuhiro;1988;124;8.16
The Shape of Voice;Nakamura, Shinichi;2016;130;8.94
Violet Evergarden Movie;Nakamura, Shinichi;2020;140;8.90
Your Name.;Shinkai, Makoto;2016;106;8.85
Spirited Away;Miyazaki, Hayao;2001;124;8.78
Princess Mononoke;Miyazaki, Hayao;1997;133;8.67
Howl's Moving Castle;Miyazaki, Hayao;2004;119;8.66
Demon Slayer: Mugen Train;Sotozaki, Haruo;2020;116;8.62
The Disappearance of Haruhi Suzumiya;Ishihara, Tatsuya;2010;161;8.61
Rascal Does Not Dream of a Dreaming Girl;Masui, Souichi;2019;90;8.60
I Want To Eat Your Pancreas;Ushijima, Shinichirou;2018;108;8.56
Suzume;Shinkai, Makoto;2022;121;8.44
Maquia: When the Promised Flower Blooms;Okada, Mari;2018;114;8.40
